app_name,posted_year,recommend
Team Fortress 2,2014.0,1416
Counter-Strike: Global Offensive,2015.0,1317
Counter-Strike: Global Offensive,2014.0,949
Team Fortress 2,2013.0,749
Garry's Mod,2014.0,684
Dota 2,2014.0,622
Team Fortress 2,2015.0,594
Unturned,2014.0,484
PAYDAY 2,2014.0,363
Rust,2014.0,338
Garry's Mod,2015.0,320
Garry's Mod,2013.0,313
DayZ,2014.0,294
Dota 2,2015.0,275
Borderlands 2,2014.0,273
Loadout,2014.0,254
Left 4 Dead 2,2014.0,252
PAYDAY 2,2015.0,250
Unturned,2015.0,242
Team Fortress 2,2012.0,240
Dota 2,2013.0,231
Terraria,2014.0,220
Left 4 Dead 2,2013.0,215
Warframe,2014.0,213
Terraria,2015.0,184
Grand Theft Auto V,2015.0,182
Goat Simulator,2014.0,175
Counter-Strike: Global Offensive,2013.0,162
Sid Meier's Civilization® V,2014.0,138
PlanetSide 2,2014.0,134
Terraria,2013.0,133
ARK: Survival Evolved,2015.0,133
Warframe,2015.0,132
Rust,2015.0,131
Portal 2,2014.0,130
Starbound,2014.0,124
Killing Floor,2014.0,120
Rocket League®,2015.0,116
Robocraft,2014.0,113
Fallout 4,2015.0,112
BioShock Infinite,2014.0,112
Emily is Away,2015.0,111
No More Room in Hell,2014.0,103
The Forest,2014.0,101
Life is Strange - Episode 1,2015.0,100
Undertale,2015.0,95
Left 4 Dead 2,2015.0,94
Starbound,2013.0,94
The Binding of Isaac,2014.0,94
War Thunder,2014.0,93
AdVenture Capitalist,2015.0,91
Warframe,2013.0,91
Counter-Strike: Source,2014.0,89
Trove,2015.0,87
PAYDAY 2,2013.0,87
Robocraft,2015.0,86
BattleBlock Theater®,2014.0,83
Dirty Bomb®,2015.0,83
Borderlands 2,2015.0,81
PlanetSide 2,2013.0,81
Saints Row IV,2014.0,81
Borderlands 2,2013.0,79
Castle Crashers®,2014.0,78
Arma 3,2014.0,78
Killing Floor 2,2015.0,77
Half-Life 2,2014.0,75
Insurgency,2014.0,75
Realm of the Mad God,2014.0,74
Mount & Blade: Warband,2014.0,74
Team Fortress 2,2011.0,72
Killing Floor,2013.0,72
Awesomenauts - the 2D moba,2014.0,71
DayZ,2015.0,71
War Thunder,2015.0,70
Portal 2,2015.0,70
PAYDAY™ The Heist,2014.0,68
Fistful of Frags,2014.0,68
Super Hexagon,2014.0,67
Portal 2,2013.0,66
Arma 3,2015.0,66
Heroes & Generals,2015.0,65
Insurgency,2015.0,64
ORION: Prelude,2014.0,64
No More Room in Hell,2013.0,63
Just Cause 2,2014.0,63
Don't Starve Together,2015.0,61
BioShock Infinite,2013.0,60
FTL: Faster Than Light,2014.0,60
Sid Meier's Civilization® V,2015.0,58
Tomb Raider,2014.0,57
DayZ,2013.0,57
Kerbal Space Program,2014.0,57
Spiral Knights,2014.0,57
Chivalry: Medieval Warfare,2014.0,57
Saints Row IV,2015.0,56
Chivalry: Medieval Warfare,2013.0,55
The Binding of Isaac: Rebirth,2015.0,55
Clicker Heroes,2015.0,55
Fallout: New Vegas,2015.0,53
The Plan,2014.0,53
Fallout: New Vegas,2014.0,53
Saints Row: The Third,2014.0,52
South Park™: The Stick of Truth™,2014.0,52
Cities: Skylines,2015.0,52
Starbound,2015.0,51
The Walking Dead,2013.0,51
The Walking Dead: Season 2,2014.0,51
Call of Duty®: Black Ops II,2014.0,50
Dying Light,2015.0,50
Heroes & Generals,2014.0,50
Far Cry 3,2014.0,50
Sid Meier's Civilization® V,2013.0,49
Kung Fury,2015.0,49
Blacklight: Retribution,2014.0,49
Middle-earth™: Shadow of Mordor™,2014.0,49
Euro Truck Simulator 2,2014.0,48
BioShock Infinite,2015.0,48
Free to Play,2014.0,48
Stranded Deep,2015.0,48
The Stanley Parable,2014.0,48
Source Filmmaker,2014.0,48
Ace of Spades: Battle Builder,2014.0,46
Risk of Rain,2014.0,46
Counter-Strike: Source,2015.0,46
The Binding of Isaac: Rebirth,2014.0,46
Five Nights at Freddy's,2014.0,45
Besiege,2015.0,44
Geometry Dash,2015.0,44
Call of Duty®: Black Ops III,2015.0,44
Mount & Blade: Warband,2015.0,43
Rust,2013.0,42
PlanetSide 2,2015.0,42
Castle Crashers®,2015.0,42
METAL GEAR SOLID V: THE PHANTOM PAIN,2015.0,42
Dishonored,2014.0,42
DARK SOULS™ II,2014.0,41
Torchlight II,2014.0,41
War Thunder,2013.0,41
Hotline Miami,2014.0,41
State of Decay,2014.0,41
Saints Row: The Third,2013.0,40
Tomb Raider,2015.0,39
The Wolf Among Us,2014.0,39
Half-Life 2,2015.0,39
"Star Wars: Battlefront 2 (Classic, 2005)",2014.0,39
SpeedRunners,2015.0,38
Sniper Elite V2,2014.0,38
Just Cause 2,2013.0,38
XCOM: Enemy Unknown,2014.0,38
Game Dev Tycoon,2014.0,38
APB Reloaded,2014.0,38
Subnautica,2015.0,37
BattleBlock Theater®,2015.0,37
Gotham City Impostors Free to Play,2014.0,37
Terraria,2012.0,37
No More Room in Hell,2015.0,37
Toribash,2014.0,37
Guns of Icarus Online,2014.0,37
Counter-Strike: Source,2013.0,37
The Walking Dead,2014.0,36
Prison Architect,2015.0,35
Spiral Knights,2013.0,35
Bad Rats: the Rats' Revenge,2015.0,35
Surgeon Simulator,2014.0,34
Half-Life 2,2013.0,34
Magicka,2014.0,34
Chivalry: Medieval Warfare,2015.0,33
DARK SOULS™: Prepare To Die™ Edition,2014.0,33
HuniePop,2015.0,33
The Binding of Isaac,2013.0,33
Portal,2014.0,33
Verdun,2015.0,33
Depth,2015.0,33
Just Cause 2: Multiplayer Mod,2013.0,33
"Papers, Please",2014.0,33
Outlast,2014.0,33
Garry's Mod,2012.0,32
Tactical Intervention,2014.0,32
Hotline Miami,2015.0,32
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2014.0,32
Goat Simulator,2015.0,32
Tomb Raider,2013.0,31
Dota 2,2012.0,31
Cry of Fear,2014.0,31
Company of Heroes 2,2014.0,31
Saints Row: The Third,2015.0,31
Broforce,2014.0,31
Super Hexagon,2013.0,31
Kerbal Space Program,2015.0,31
The Escapists,2015.0,31
Fistful of Frags,2015.0,31
Reign Of Kings,2015.0,31
Killing Floor,2015.0,30
Batman™: Arkham Origins,2014.0,30
Prison Architect,2014.0,30
Mirror's Edge™,2014.0,30
Banished,2014.0,30
Left 4 Dead 2,2012.0,30
DC Universe™ Online,2014.0,30
Batman: Arkham City - Game of the Year Edition,2014.0,30
Alien Swarm,2014.0,30
The Forest,2015.0,30
Saints Row IV,2013.0,30
TERA,2015.0,29
Age of Empires II HD,2014.0,29
Portal 2,2012.0,29
Awesomenauts - the 2D moba,2013.0,29
ORION: Prelude,2015.0,28
Arma 2: Operation Arrowhead,2014.0,28
Total War™: ROME II - Emperor Edition,2014.0,28
GunZ 2: The Second Duel,2014.0,28
The Beginner's Guide,2015.0,28
Call of Duty®: Modern Warfare® 2,2014.0,28
To the Moon,2014.0,27
Broforce,2015.0,27
Bastion,2014.0,27
Magicite,2014.0,27
Just Cause™ 3,2015.0,27
AirMech Strike,2014.0,27
Ori and the Blind Forest,2015.0,27
SMITE®,2015.0,27
Hitman: Absolution™,2014.0,27
Borderlands: The Pre-Sequel,2015.0,27
Gunpoint,2014.0,26
Kerbal Space Program,2013.0,26
Five Nights at Freddy's 2,2014.0,26
Spec Ops: The Line,2015.0,26
POSTAL 2,2014.0,26
Batman™: Arkham Knight,2015.0,26
BioShock™,2014.0,26
Borderlands: The Pre-Sequel,2014.0,26
Sanctum 2,2014.0,26
Just Cause 2,2015.0,26
Contagion,2014.0,26
Realm of the Mad God,2015.0,26
Monaco: What's Yours Is Mine,2014.0,25
Mount & Blade: Warband,2013.0,25
DRAGON BALL XENOVERSE,2015.0,25
Dungeon Defenders II,2015.0,25
Portal 2,2011.0,25
Skullgirls,2015.0,25
BLOCKADE 3D,2015.0,25
Euro Truck Simulator 2,2015.0,25
Risk of Rain,2015.0,25
Brawlhalla,2015.0,25
Call of Duty®: Ghosts,2014.0,25
Middle-earth™: Shadow of Mordor™,2015.0,25
Blacklight: Retribution,2013.0,24
The Walking Dead: Season 2,2013.0,24
Nether: Resurrected,2014.0,24
Far Cry 3,2013.0,24
Surgeon Simulator,2013.0,24
Tales from the Borderlands,2015.0,24
Age of Empires II HD,2015.0,24
The Expendabros,2014.0,24
