user_id,item_id,recommend,posted_year,sentiment_score,sentiment_analysis
76561197970982479,1250,True,2011.0,0.8481,2
76561197970982479,22200,True,2011.0,0.2263,2
76561197970982479,43110,True,2011.0,0.9117,2
js41637,251610,True,2014.0,0.9566,2
js41637,227300,True,2013.0,0.9708,2
js41637,239030,True,2013.0,0.7713,2
evcentric,248820,True,,0.3658,2
evcentric,370360,True,2015.0,0.3313,2
evcentric,237930,True,2014.0,0.4767,2
evcentric,263360,True,2014.0,0.0,1
evcentric,107200,True,2014.0,0.6267,2
evcentric,224500,True,2014.0,0.5106,2
doctr,250320,True,2013.0,0.8381,2
doctr,20920,True,2012.0,0.9885,2
doctr,204100,True,2012.0,0.8922,2
doctr,224600,True,2014.0,0.7579,2
doctr,207610,True,2012.0,-0.6486,0
doctr,108710,True,2012.0,0.9571,2
maplemage,211420,True,2014.0,0.0,1
maplemage,211820,True,2013.0,0.6597,2
maplemage,730,True,2014.0,0.2732,2
maplemage,204300,True,2013.0,0.9939,2
Wackky,249130,True,2014.0,0.0,1
Wackky,207610,True,2012.0,0.0,1
Wackky,550,True,2012.0,0.5574,2
Wackky,65800,True,2012.0,0.3612,2
Wackky,220,True,2012.0,0.2605,2
76561198079601835,730,True,,0.0,1
MeaTCompany,730,True,,0.3182,2
76561198089393905,72850,True,2015.0,-0.8625,0
76561198089393905,440,True,2014.0,0.0,1
76561198156664158,252950,True,,0.6369,2
76561198077246154,440,True,,0.0,1
76561198077246154,304930,True,2014.0,0.0,1
WeiEDKrSat,4000,True,2013.0,0.0,1
thequeenpanda,42910,True,2012.0,0.0,1
death-hunter,232090,True,2015.0,0.4246,2
death-hunter,1250,True,2015.0,0.7644,2
death-hunter,4000,True,2014.0,0.7906,2
DJKamBer,304930,True,2014.0,0.9219,2
DJKamBer,570,True,2013.0,0.9375,2
DJKamBer,218620,True,2015.0,0.9516,2
DJKamBer,224260,True,2013.0,0.9269,2
DJKamBer,1250,True,2013.0,-0.5348,0
DJKamBer,440,True,2012.0,0.2575,2
Rainbow-Dashie,730,True,2015.0,0.6209,2
Rainbow-Dashie,440,True,2014.0,0.4404,2
Rainbow-Dashie,49520,True,2014.0,0.0,1
76561198043472122,33440,False,2014.0,0.0,1
MarbleShrine,220200,True,2015.0,0.991,2
